branch_id,branch_name,city,state
B000,Raju-Ganesan,Dewas,Uttarakhand
B001,"Shankar, Deshpande and Tella",Satara,Punjab
B002,Mangal Group,Jamalpur,Andhra Pradesh
B003,Singhal PLC,Pimpri-Chinchwad,Uttarakhand
B004,Sarkar Group,Karnal,Goa
B005,"Sur, Jha and Uppal",Meerut,Tripura
B006,Karan LLC,Ramgarh,Punjab
B007,"Iyer, Ratta and Randhawa",Katni,Bihar
B008,Suri-Banik,Hospet,Bihar
B009,"Saxena, Uppal and Dyal",Ujjain,Madhya Pradesh
B010,Date LLC,Etawah,Punjab
B011,"Barad, Shanker and Goyal",Warangal,Haryana
B012,"Dhaliwal, Virk and Rajan",Bettiah,Andhra Pradesh
B013,D’Alia-Badal,Kishanganj,Uttar Pradesh
B014,"Ratti, Ramaswamy and Gara",Bareilly,Bihar
B015,"Rau, Shroff and Bose",Naihati,Uttar Pradesh
B016,"Ramanathan, Bali and Ramesh",Danapur,Andhra Pradesh
B017,Cherian-Sachdeva,Jaipur,Maharashtra
B018,Chander-Bhat,Navi Mumbai,Nagaland
B019,Baria Group,Patna,Telangana
B020,"Jain, Tata and Kannan",Amroha,Punjab
B021,"Chopra, Dara and Dixit",Chandrapur,Assam
B022,Master Ltd,Ahmednagar,West Bengal
B023,Bhattacharyya PLC,Mumbai,Madhya Pradesh
B024,Mani-Kuruvilla,Farrukhabad,Nagaland
B025,Kalita-Randhawa,Erode,Rajasthan
B026,Balan-Sangha,Thrissur,Gujarat
B027,Thakkar Inc,Meerut,Arunachal Pradesh
B028,Luthra LLC,Nagaon,Goa
B029,Krishnan PLC,Bathinda,Bihar
B030,"Bobal, Majumdar and Dyal",Serampore,Maharashtra
B031,"Acharya, Chaudhuri and Ramaswamy",Kochi,Sikkim
B032,Uppal LLC,Nellore,Himachal Pradesh
B033,Chaudhuri-Sur,Sirsa,Rajasthan
B034,"Srinivas, Tailor and Baral",Berhampore,West Bengal
B035,Mandal-Kant,Parbhani,Andhra Pradesh
B036,Luthra and Sons,Ajmer,Punjab
B037,Kade-Bandi,Ramagundam,Bihar
B038,Aurora and Sons,Udaipur,West Bengal
B039,Balakrishnan-Loke,Jhansi,Himachal Pradesh
B040,Dua-Chhabra,Katihar,Kerala
B041,Dayal and Sons,Ghaziabad,Gujarat
B042,Sahota-Gade,Siliguri,Chhattisgarh
B043,"Saha, Chacko and Gole",Jhansi,Karnataka
B044,Shetty-Krishna,Ghaziabad,Arunachal Pradesh
B045,Singh PLC,Faridabad,Mizoram
B046,Bobal-Jani,Gorakhpur,Assam
B047,"Gandhi, Agate and Lal",Malegaon,Tripura
B048,Dhawan-Balasubramanian,Mathura,Haryana
B049,"Lal, Sankar and Sarraf",Singrauli,Odisha
